name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
SpectraCare Health Systems,Henry County Clinic,219 Dothan Road,,Abbeville,Alabama,36310,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SMHA SWFS * SS * TAY SE GL VET ADM MF CJ CO HV TRMA ALZ PTSD SED SMI * STU * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SH CM SPS ES
SpectraCare Health Systems,Henry County Day Treatment,1242 US Highway 431 South,,Abbeville,Alabama,36310,800-951-4357,334-951-4357,,,,MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SEF SF SMHA * SS * CO SMI * ADLT SNR YAD * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SH VRS CM SPS ES
South Central Alabama CMHC,,19815 Bay Branch Road,,Andalusia,Alabama,36420,334-222-2523,877-530-0002,,,,MH SUMH * OP * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SED SMI * TBS MST LABT * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY PRS SH CM SPS
South Central Alabama MH Center,Montezuma Complex,205 Academy Drive,,Andalusia,Alabama,36420,334-428-5050,,,,,MH SUMH * PHDT RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * PVTN * CMHG MC MD PI SF SMHA * PA SS * SED SMI * TBS MST LABT * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY PRS CM IPC SPS
Northeast Alabama Regional Med Ctr,Behavioral Health,400 East 10th Street,,Anniston,Alabama,36207,256-235-5121,256-235-5082,256-235-5482,,,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP ARIPI ASENA CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IPT AIM * PEON * PVTN * MC MD MI PI SF SI SMHA VAF * SE ALZ * STU * MST LABT * TCC * SMON * ADLT SNR YAD * AH * VAPN * CM SPS ES
SpectraCare Health Systems,Cottonwood Specialized Care,1539 Sweetie Smith Road,,Ashford,Alabama,36312,334-691-8030,800-951-4357,,,,MH SUMH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * PEON * PVTN * CLF CMHG CSBG MC MD MI PI SCJJ SEF SF SI SMHA SWFS * SS * SE GL VET ADM MF CJ CO HV TRMA PTSD SMI * TCC * ADLT SNR YAD * AH * VPPD * COOT DEC FPSY LAD PRS CM IPC SPS
MHCNCA Inc,Athens Limestone Counseling Center,1307 East Elm Street,,Athens,Alabama,35611,256-232-3661,256-355-5904,800-365-6008,,,MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE AIM * CIT PEON * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * CO SED SMI * STU * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY PRS CM
Birmingham VAMC,Bessemer Clinic,975 9th Avenue SW,Suite 400,Bessemer,Alabama,35022,205-428-3495,205-428-3495 x7931,205-428-3495 x7934,,,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH THIOT THIOR TRIFL ARIPI CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET * STU * HS PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC FPSY ICM LAD SEMP SH CM IPC SPS
Birmingham VAMC,Mental Hygiene (116A),700 South 19th Street,,Birmingham,Alabama,35233,205-933-8101,205-933-8101 x5508,,,,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * FED VAMC * MC MI PI VAF * GL VET MF CJ CO TRMA TBI PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * SMON * ADLT SNR YAD * AH SP FX * F17 * VAPN * ACT CDM COOT DEC FPSY ICM IMR LAD SEMP SH VRS CM IPC SPS ES
Eastlake Group Homes,,7744 1st Avenue South,,Birmingham,Alabama,35206,205-836-6538,205-595-4555,,,,MH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * GT IPT TELE AIM * PVTN * CMHG MC MD SF * SMI * TBS MST LABT * HS PEER * ADLT SNR YAD * VAPN * CDM DEC FPSY IMR
