,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
0,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",2020-08-31,2020-08-31,8.4,6.5,10.6,6.5 - 10.6,7.8-9.1,
1,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,2,14,"Sep 2 - Sep 14, 2020",2020-09-14,2020-09-14,9.9,7.2,13.0,7.2 - 13.0,9.5-10.7,
2,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,2,15,"Sep 16 - Sep 28, 2020",2020-09-28,2020-09-28,14.5,11.5,17.9,11.5 - 17.9,11.2-15.1,
3,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",2020-10-12,2020-10-12,9.8,7.6,12.5,7.6 - 12.5,9.8-10.8,
4,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,2,17,"Oct 14 - Oct 26, 2020",2020-10-26,2020-10-26,7.7,5.8,9.9,5.8 - 9.9,4.9-9.3,
5,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-11-09,2020-11-09,7.8,5.5,10.8,5.5 - 10.8,6.7-9.2,
6,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-23,2020-11-23,13.7,10.0,18.1,10.0 - 18.1,12.2-15.5,
7,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-12-07,2020-12-07,10.3,7.6,13.6,7.6 - 13.6,10.1-11.6,
8,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-21,2020-12-21,13.1,10.2,16.4,10.2 - 16.4,12.8-13.6,
9,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-18,2021-01-18,12.9,8.4,18.7,8.4 - 18.7,12.6-17.3,
10,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-02-01,2021-02-01,11.2,8.1,15.1,8.1 - 15.1,9.8-11.2,
11,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-15,2021-02-15,10.8,8.6,13.3,8.6 - 13.3,9.7-11.2,
12,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-03-01,2021-03-01,9.4,6.5,13.1,6.5 - 13.1,5.8-10.2,
13,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-15,2021-03-15,12.5,9.1,16.6,9.1 - 16.6,11.2-12.9,
14,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-29,2021-03-29,12.3,9.3,15.9,9.3 - 15.9,12.3-14.3,
15,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-26,2021-04-26,8.7,5.5,12.9,5.5 - 12.9,8.2-9.7,
16,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.1,29,"Apr 28 - May 10, 2021",2021-05-10,2021-05-10,12.0,9.2,15.4,9.2 - 15.4,11.7-15.2,
17,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.1,30,"May 12 - May 24, 2021",2021-05-24,2021-05-24,9.8,6.9,13.4,6.9 - 13.4,9.4-10.4,
18,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.1,31,"May 26 - Jun 7, 2021",2021-06-07,2021-06-07,13.5,8.3,20.4,8.3 - 20.4,10.9-15.0,
19,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-21,2021-06-21,12.8,9.3,16.9,9.3 - 16.9,11.4-15.9,
20,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.1,33,"Jun 23 - Jul 5, 2021",2021-07-05,2021-07-05,10.0,7.4,13.2,7.4 - 13.2,10.0-11.4,
21,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.2,34,"Jul 21 - Aug 2, 2021",2021-08-02,2021-08-02,15.1,11.6,19.2,11.6 - 19.2,12.5-16.2,
22,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-16,2021-08-16,12.5,9.0,16.8,9.0 - 16.8,12.1-15.2,
23,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-30,2021-08-30,12.7,9.9,15.9,9.9 - 15.9,11.1-12.7,
24,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-13,2021-09-13,13.6,10.8,16.9,10.8 - 16.9,12.6-17.7,
25,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-27,2021-09-27,11.1,7.9,15.0,7.9 - 15.0,11.0-12.7,
26,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.2,39,"Sep 29 - Oct 11, 2021",2021-10-11,2021-10-11,9.2,6.1,13.2,6.1 - 13.2,5.9-9.2,
27,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-13,2021-12-13,13.0,9.3,17.5,9.3 - 17.5,12.6-17.0,
28,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2022-01-10,2022-01-10,10.9,7.6,14.9,7.6 - 14.9,10.2-11.6,
29,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.3,42,"Jan 26 - Feb 7, 2022",2022-02-07,2022-02-07,12.4,9.2,16.2,9.2 - 16.2,11.0-12.7,
30,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-14,2022-03-14,11.3,8.3,14.9,8.3 - 14.9,10.0-11.5,
31,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.4,44,"Mar 30 - Apr 11, 2022",2022-04-11,2022-04-11,10.0,7.1,13.6,7.1 - 13.6,8.3-10.0,
32,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.4,45,"Apr 27 - May 9, 2022",2022-05-09,2022-05-09,12.1,8.4,16.7,8.4 - 16.7,11.4-12.9,
33,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",2020-08-31,2020-08-31,8.5,6.5,10.9,6.5 - 10.9,7.2-8.7,
34,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,14,"Sep 2 - Sep 14, 2020",2020-09-14,2020-09-14,6.9,5.1,9.0,5.1 - 9.0,5.3-7.7,
35,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,15,"Sep 16 - Sep 28, 2020",2020-09-28,2020-09-28,7.5,5.3,10.2,5.3 - 10.2,5.1-7.7,
36,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",2020-10-12,2020-10-12,7.6,5.2,10.7,5.2 - 10.7,4.6-7.6,
37,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,17,"Oct 14 - Oct 26, 2020",2020-10-26,2020-10-26,6.4,4.4,8.9,4.4 - 8.9,6.1-8.0,
38,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-11-09,2020-11-09,9.2,5.2,14.9,5.2 - 14.9,9.0-9.7,
